Name,TotalTime,RecipeCategory,Keywords,RecipeIngredientParts,RecipeInstructions,Calories
Classic Filipino Chicken Adobo,PT0S,Chicken,"c(""Poultry"", ""Meat"", ""Filipino"", ""Asian"", ""< 15 Mins"")","c(""chicken pieces"", ""garlic"", ""white vinegar"", ""black peppercorns"", ""bay leaf"", ""soy sauce"", ""salt"", ""potatoes"", ""water"")","c(""Combine all ingredients in a deep glass or stainless steel sauce pan."", ""Bring to a boil over medium heat, then reduce heat to medium low."", ""Cover and simmer for  about 30 minutes or until the meat is very tender."", ""Gently turn the meat  occasionally during the course of cooking."", ""Remove the meat from the sauce and  pan-fry in a little oil until browned on all sides."", ""Transfer to a serving  platter or bowl and cover with sauce. Serve with warm steamed rice."", ""While the recipe says to saute the meat after it's cooked, I usually brown the  meat before adding the remainder of the incredients. I have no idea what  difference this makes, if any."", 
""I adapted this from a recipe in Philippine  Recipes Made Easy, by Violeta A. Noriega."")",314.3
Couscous with Chicken and Tomatoes,PT40M,Lunch/Snacks,"c(""Whole Chicken"", ""Chicken"", ""Poultry"", ""Vegetable"", ""Meat"", ""Lebanese"", ""Southwest Asia (middle East)"", ""Filipino"", ""African"", ""Asian"", ""Indian"", ""Low Cholesterol"", ""Kid Friendly"", ""< 60 Mins"", ""Beginner Cook"", ""Stove Top"", ""Easy"")","c(""chicken"", ""chickpeas"", ""garlic"", ""onion"", ""carrots"", ""tomatoes"", ""tomato puree"", ""parsley"", ""couscous"", ""olive oil"")","c(""Peel and trim the vegetables."", ""Fry the chicken pieces in half the olive oil until lightly browned."", ""Add the sliced onion and the chopped garlic, the tomato purée and enough water just to cover the chicken."", ""Season generously and simmer for 10 minutes."", ""Add the cooked chick peas, the carrots, cut into batons (lengthwise into quarters), and the tomatoes, cut into 8 pieces each."", ""Mix the couscous with its own volume of water and the remaining olive oil."", ""Stir it and leave it to swell up for about 15 minutes."", 
""To cook: place it in a colander or sieve over a pan of boiling water (traditionally its done over the stew but this can be hazardous), steam for 20-25 minutes until swollen and cooked through."", ""To serve: stir a knob of butter into the couscous and pile in a ring around a large dish."", ""Spoon the chicken and vegetables into the centre of the dish and pass the sauce separately."", ""It can have a little chili added to give it extra pungency."")",779.2
Beef Steak,PT57M,Lunch/Snacks,"c(""Filipino"", ""Asian"", ""< 60 Mins"", ""Stir Fry"")","c(""lemon juice"", ""soy sauce"", ""water"", ""garlic"", ""ginger"", ""flour"", ""ground black pepper"", ""onion"")","c(""Marinate the steak in lemon juice,soy sauce,garlic,ginger and pepper for 30 minutes."", ""Pan fry in 2 tbsp of oil add the marinated steak cook slow until done."", ""When steak are cooked remove them from the pan onto a serving dish."", ""Dissolve the flour with water."", ""Add the remaining oil in the same pan and pan fry the onion until tender and add the dissolve flour for 1 minute."", ""Pile on the of steaks Serve hot with plain rice."")",53.4
"Beef Cubes, Pineapple Cubes, Carrots and Potato",PT52M,Pineapple,"c(""Potato"", ""Tropical Fruits"", ""Fruit"", ""Vegetable"", ""Meat"", ""Filipino"", ""Asian"", ""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""Pressure Cooker"", ""< 60 Mins"", ""Stove Top"", ""Easy"")","c(""beef"", ""pineapple"", ""water"", ""vinegar"", ""onion"", ""garlic cloves"", ""ground ginger"", ""carrots"", ""potatoes"", ""ground oregano"", ""fresh tomato"", ""black pepper"", ""salt"", ""ketchup"")","c(""Place the beef cubes with water in the pressure cooker for 15 minutes."", ""Add the onion, garlic, ginger for 2 minutes."", ""Put together all the remaining Ingredients and cook for 15 minutes."")",256.3
Chili Crabs,PT24M,Lunch/Snacks,"c(""Crab"", ""Filipino"", ""Asian"", ""Microwave"", ""< 30 Mins"")","c(""garlic"", ""ginger"", ""chili sauce"", ""tomato sauce"", ""red chile"", ""ground pepper"", ""sugar"", ""salt"", ""water"", ""cornflour"", ""lettuce leaves"", ""coriander leaves"")","c(""Place the crabs,cooking oil,garlic,ginger in a Microwave safe casserole and cook on high for 5-6 miumntes or until aromatic."", ""Add the chili,garlic sauce,tomato sauce,red chilli,pepper,sugar, and salt and cook on power high for 45 second."", ""Stir in the crabs,cover and cook for 5 minutes."", ""Stir at half cooking time."", ""Stir the water and cornflour,cover on power high for 3 minutes or until the sauce thickened and crabs are cooked."", ""Serve hot plain rice or bread."")",231.8
Chicken or Pork Adobo,PT50M,Lunch/Snacks,"c(""Chicken"", ""Pork"", ""Poultry"", ""Meat"", ""Filipino"", ""Asian"", ""Very Low Carbs"", ""High Protein"", ""High In..."", ""< 60 Mins"", ""Stove Top"", ""Easy"")","c(""chicken thighs"", ""vinegar"", ""soy sauce"", ""garlic"", ""salt"", ""peppercorn"", ""bay leaf"")","c(""If using pork, cut pork into 1 1/2-inch pieces."", ""In a large sauce pot, combine all ingredients."", ""Cover and let stand for 1 to 3 hours."", ""Bring to a boil; lower heat and simmer for 30 minutes (45 minutes for pork)."", ""Uncover and simmer 15 more minutes or until liquid evaporates and chicken or pork is lightly browned."")",496.4
Lumpia (philippine Egg Rolls from Scratch),PT30M,Lunch/Snacks,"c(""Pineapple"", ""Pork"", ""Tropical Fruits"", ""Fruit"", ""Vegetable"", ""Meat"", ""Filipino"", ""Asian"", ""Kid Friendly"", ""Potluck"", ""< 30 Mins"", ""Stove Top"", ""Easy"")","c(""flour"", ""water"", ""salt"", ""ground pork"", ""beef"", ""raw shrimp"", ""onion"", ""water chestnuts"", ""bamboo shoots"", ""celery"", ""garlic"", ""carrot"", ""bean sprouts"", ""raisins"", ""ketchup"", ""vinegar"", ""brown sugar"", ""ginger"", ""salt"", ""cornstarch"")","c(""Doilies: Combine flour, water and salt to taste and mix thoroughly with a wire whisk to remove lumps."", ""Batter should be about the consistency of a crepe batter."", ""Add a little water if it is too thick."", ""If the batter thickens as it sits, you may have to add more water."", ""Heat a 6\"" crepe pan and wipe out with lightly oiled wax paper."", ""Pour on batter quickly to cover the bottom."", ""Pour off excess."", ""Allow to cook over low heat until the edges begin to curl and pull away from the sides of the pan."", 
""Remove and place on clean, dry surface."", ""Repeat, oiling pan each time."", ""Do not stack doilies on top of each other until each has cooled."", ""Before filling, put off excess batter to make a perfect circle."", ""Filling: Cook pork or beef in a large skillet until pinkness is gone."", ""Drain off grease."", ""Add shrimp, onions, water chestnuts, bamboo shoots, celery, garlic and carrot; cook until carrot is almost tender."", ""Stir in remaining ingredients except the egg white and oil."", ""Mix well."", ""Cook until bean sprouts are limp."", 
""Pour mixture into strainer and cool, allowing as much liquid as possible to drain off before filling rolls."", ""Use about 1 heaping teaspoon for each doily."", ""Place filling near one side."", ""Roll doily over filling a couple of times; fold in sides and roll up tightly."", ""Seal flap with a little egg white."", ""Deep fry in corn oil heated to about 375F degrees, until rolls are golden."", ""Drain thoroughly on paper towels and serve with sauce."")",80.7
PAKSIW NA ISDA (Boiled Pickled Fish and Vegetables),PT35M,Lunch/Snacks,"c(""Melons"", ""Fruit"", ""Vegetable"", ""Filipino"", ""Asian"", ""< 60 Mins"", ""Refrigerator"", ""Stove Top"", ""Easy"")","c(""vinegar"", ""water"", ""salt"", ""ginger"", ""banana peppers"", ""bitter melon"", ""eggplant"")","c(""Cut fish into 4 slices."", ""Place fish in a teflon or porcelain coated skillet."", ""Add all other ingredients, except ampalaya and eggplant, cover and bring to a boil."", ""Let simmer about 10 minutes, turning fish once to cook evenly."", ""Transfer to a covered dish and store in the refrigerator to\""age\"" for 2 days."", ""Reheat over moderate heat just until heated enough before serving."", ""Add ampalaya and eggplant during the last five minutes of cooking."")",5.2
TRADITIONAL ADOBO (Pork in Vinegar and Soy Sauce),PT1H5M,Lunch/Snacks,"c(""Pork"", ""Meat"", ""Filipino"", ""Asian"", ""Very Low Carbs"", ""Weeknight"", ""< 4 Hours"", ""Easy"")","c(""vinegar"", ""soy sauce"", ""salt"", ""garlic"", ""bay leaf"", ""pepper"", ""sugar"", ""water"")","c(""Combine all ingredients except cooking oil in a pot and let stand for at least 30 minutes."", ""Simmer covered for 1 hour or until meat is tender."", ""Drain and reserve the sauce."", ""Heat cooking oil in a skillet."", ""Brown meat on all sides."", ""Transfer to a serving dish."", ""Pour off all remaining oil from skillet."", ""Add reserved sauce and cook for a minute or two scraping all browned bits sticking to pan."", ""Pour sauce over meat and serve."")",324.3
Hot & Sour Shrimp,PT37M,Lunch/Snacks,"c(""Vegetable"", ""Filipino"", ""Asian"", ""Potluck"", ""< 60 Mins"", ""Stove Top"", ""Easy"")","c(""shrimp"", ""dry sherry"", ""fresh ginger"", ""canned broth"", ""soy sauce"", ""catsup"", ""cornstarch"", ""rice vinegar"", ""white wine vinegar"", ""sugar"", ""cayenne pepper"", ""walnuts"", ""watercress"", ""bell peppers"", ""garlic"", ""green onions"")","c(""Combine shrimp, 2 tablespoons Sherry and grated ginger in large bowl."", ""Cover and refrigerate for 30 minutes."", ""Mix remaining 2 tablespoons Sherry, chicken stock, soy sauce, catsup, cornstarch, rice vinegar, sugar, sesame oil and cayenne pepper in small bowl."", ""Heat 2 teaspoons peanut oil in wok or heavy large skillet over high heat."", ""Add walnuts and stir-fry for 1 minute."", ""Transfer walnuts to plate using slotted spoon."", ""Add watercress to wok and stir-fry until just wilted, about 1 minute."", 
""Divide watercress among plates."", ""Add 2 teaspoons peanut oil, bell peppers and garlic to wok and stir-fry for 1 minute."", ""Add remaining 2 teaspoons peanut oil, shrimp mixture and onions and stir- fry for 1 minute."", ""Stir stock mixture, add to wok and cook sauce until clear and thick, stirring frequently, 2 minutes."", ""Spoon sauce and shrimp over watercress."", ""Sprinkle with walnuts and serve."")",261.4
